text,Optimistic,Pessimistic,Sad,Surprise
 يابن الحلال لاعاد تغرد عن كورونا الا فالسعوديه نافصين قلق احنا كل شوي مطلع دوله 💔💔,0,0,1,0
تطلع تضربك كرونا خير ما يذلك نت ليبيانا الكلب,0,0,1,0
خطيه خطيه خطيه من بداية كورونا على الناس الأحزاب بالجنوب والوسط صار شكد عليهم حجر رجاءً مو خطيه,0,0,1,0
والبطل من يطبق ما يريحه من عادات حتى بعد كورونا.. وكل شخص ينام على الجنب الي يريحه. لعلها خير!    ,1,0,0,0
🔴عاجل ..     البحرين تعلن القضاء على فايروس كرونا نهائياً..!     هذا الي ننتظره بس ، الله يفرحنا 🙏,1,0,0,0
"\ الفرقة الناجية في زمان كورونا هيَ المعتزلة، والهالكة هيَ الخوارج \""",1,0,0,0
شابين بحالة جيدة بلندن توفوا بسبب كورونا ولم يعانوا من اَي مشاكل صحية,0,1,1,0
بسبب اول مرة في حياتي اشتري ملابس اون لاين .   يارب تطلع القياسات صح,0,0,0,1
فيها ايه لو العشاق يزيدو اتنين والله ما هيجرا حاجة       ,0,0,0,1
 : أكبر عدد وفيات سيكون في أمريكا لانها ليست ديكتاتورية مثل الصين...,0,1,0,0
وشبصير لو واحد عنده كورونا اختلط مع واحد عنده كورونا؟,0,0,0,1
 الزمن ده زمن العدل أين نحن منه الآن مين عارف ربنا يجعل في قضاه رحمه ويزهر من جديد علي انقاض كورونا,1,0,0,0
 أش دخل كورونا في الراتب.   طيب أقل شي علمونا كم باقي إن شاء الله ويروح ويذهب. 😓,0,0,1,0
انا من قريت اكتشفت توقعت اكتشفتي علاج كورونا بس للاسف,0,1,1,0
10 حالات كورونا في ليبيا وكلها في المنطقة الغربية .. يبدو لي أن كورونا له علاقة بالجنس الآدمي فقط ..,0,0,1,0
حتى مسلسل سليمان الطيب طالعت ، لوين بتوصلينا يا كورونا,0,1,1,0
ما سمعنا صوت معهد الابحاث عن الفايروس كورونا ؟؟ ولا علقو ؟؟,0,0,0,1
 بعد كورونا اتوقع سيتوجه العالم لطلب العلاج في السعودية بدلًا من امريكا وغيرها وتصبح فخر ودخل للوطن يوازي البترول وغيرة,1,0,0,0
اي حيل محظوظين ومن ضفناج واحنا بازمة كورونا,0,0,1,0
دام هالشهر شهر الكذابين أتمنى كورونا تطلع كذبة ابريل,0,0,0,1
"    \الانتهاء من الأزمة يفتح بوابة لعالم جديد في التركيبة الاجتماعية والعلاقات الإنسانية\"".",0,0,0,1
 أنا متفائل ب كورونا إنه هيخلصنا من الظالمين إن شاء الله,1,0,0,0
اليوم ومع الاسف الشديد تاكدت اصابتي بمرض كورونا     احتاج دعواتكم .,0,0,1,0
 العنصرية والكِبْر أخطر من كرونا بكثييير ، وسيتجلّى ذلك في قادم الأيام..,0,0,0,1
           الأزمات تكشف الحكومات..  بأختصار:  (الله اللي عزنا مالحد منّة),1,0,0,0
 جزاكم الله خيرا دكتورنا على هذا العطاء المبارك والأهم استمراره حتى بعد زوال كورونا 😊😊,1,0,0,0
بكورونا او بدون كورونا يبقى الابتعاد عن الناس فكرة عظيمة جدا ✔️,1,0,0,0
يارب تخلص ازمة كورونا على خير ابا امارس حياتي الطبيعيه😔,1,0,0,0
فيروس كورونا أعاد الانسان الى المربع الاول (وخلق الإنسان ضعيفاً ) ,0,0,0,1
 لا لا إن شاء الله يصحينا خبر علاج كورونا,1,0,0,0
التقليل من عدد العاملين اثناء الحظر يساعد على الحماية من الإصابة بفايرس كورونا     وقف سيارات الأغاني المزعجة    منع التجمعات بين العاملين,1,0,0,0
 واحنا يهمنا اية الموضوع عندة كورونا ولا معندوش,0,0,0,1
والله يا كورونا حاسنا حوس 🥺    الله يعينا ويصبرنا ويكتب اجرنا ويرزقنا على صبرنا وبعدنا عن اهلنا 💔,1,0,0,0
 علمتنا درساً في غاية الأهمية :  عندما تبقى وحيداً ستنجو .. وعندما تتبع القطيع ستموت💙,1,0,0,0
عيناك كفايروس كورونا تقتلني وقلبك ك ترامب لا يبالي,0,0,0,1
بعض الدول اوشكت على المجاعه بسبب كورونا    خلال اسبوع او أكثر سوف تتوقف عن حملة خليك في البيت,0,1,0,0
 مرض العنصرية اقوى واشد بمراحل من كورونا,0,0,1,0
يحرقون جثث ضحايا كورونا في الشارع  لعدم استجابة السلطات,0,0,0,1
على رغم الخسائر في الارواح والاموال التي الحقها كرونا بالبشرية إلا انه قرب الناس من الله واعاد الكثير منهم إلى آدميتهم,1,0,0,0
 ما علمي حلفا بس بدك الجد ما حدا خارب البلد الا هل الزمك باسيل مرض خبيث ومتفشي اكتر من كورونا,0,1,0,0
عندي إحساس بلي هاد سيمانة غيكولو لينا أن كورونا 🦠مجرد كذبة أبريل 🙂 .,0,0,0,1
من كل قلبي قاعد انتظر اللحظه اللي يعلنون فيها عن شفاء آخر حالة كورونا بالعالم وانعدام المرض ونرجع لحياتنا الطبيعيه والروتين اليومي.,1,0,0,0
 هو لو مرض تعالج بفلوسه لكن كورونا صعب يرجعونه تخيلي بلدته فقيره جدا راح ينشر الوباء للمساكين هناك هذا وباء مو مرض عادي,0,1,1,0
وزير الصحة يكول ان اذا الناس التزموا ١٠٠٪ والله عطف علينة ف ممكن بنص حزيران نتخلص من كورونا,1,0,0,0
1 ابريل .. مايعرف بكذبة ابريل وحضرت على غير المعتاد ( كورونا ) ليعيش العالم بواقعية مؤلمه,0,0,1,0
 استاذه مسك متى تتوقعين نهايه كورونا في السعوديه وعوده الحياهه طبيعيه,0,0,0,1
